,features,importance
345,race_name_報知杯大雪ハンデ ,0
346,race_name_堺ステークス ,0
347,race_name_壇之浦特別 ,0
348,race_name_壬生特別 ,0
349,race_name_夏至ステークス ,0
350,race_name_夕刊フジ杯オパールS(L),0
351,race_name_夕月特別 ,0
377,race_name_奥の細道特別 ,0
378,race_name_奥多摩ステークス ,0
379,race_name_奥尻特別 ,0
414,race_name_川俣特別 ,0
405,race_name_山城ステークス ,0
406,race_name_山桜賞 ,0
18,騎手_北村宏司,0
408,race_name_山陽特別 ,0
409,race_name_岡崎特別 ,0
410,race_name_岩室温泉特別 ,0
411,race_name_岩船特別 ,0
412,race_name_岸和田ステークス ,0
413,race_name_巌流島特別 ,0
415,race_name_川西特別 ,0
403,race_name_尾瀬特別 ,0
416,race_name_巴賞 ,0
417,race_name_市原特別 ,0
418,race_name_帆柱山特別 ,0
419,race_name_師走ステークス(L),0
420,race_name_常総ステークス ,0
421,race_name_平城京ステークス ,0
422,race_name_府中特別 ,0
32,騎手_岩田康誠,0
424,race_name_御室特別 ,0
404,race_name_山中湖特別 ,0
402,race_name_尾張特別 ,0
380,race_name_奥羽ステークス ,0
390,race_name_富嶽賞 ,0
381,race_name_妙見山特別 ,0
382,race_name_妙高特別 ,0
383,race_name_姫路ステークス ,0
384,race_name_安房特別 ,0
385,race_name_安芸ステークス ,0
386,race_name_安達太良ステークス ,0
387,race_name_宝満山特別 ,0
388,race_name_室町ステークス ,0
389,race_name_宮崎特別 ,0
391,race_name_富良野特別 ,0
401,race_name_尼崎ステークス ,0
392,race_name_富里特別 ,0
393,race_name_寒椿賞 ,0
394,race_name_寿ステークス ,0
395,race_name_小倉城特別 ,0
396,race_name_小倉日経オープン ,0
397,race_name_小樽特別 ,0
398,race_name_小牧特別 ,0
399,race_name_小郡特別 ,0
400,race_name_小金井特別 ,0
331,race_name_吾妻小富士ステークス ,0
329,race_name_名古屋日刊スポーツ杯 ,0
234,race_name_ラジオ日本賞 ,0
328,race_name_名古屋城ステークス ,0
259,race_name_丹頂ステークス ,0
260,race_name_乙訓特別 ,0
261,race_name_九十九里特別 ,0
262,race_name_九州スポーツ杯 ,0
263,race_name_二本松特別 ,0
264,race_name_五条坂特別 ,0
265,race_name_五泉特別 ,0
266,race_name_五稜郭ステークス ,0
267,race_name_五色沼特別 ,0
268,race_name_京橋特別 ,0
269,race_name_京葉ステークス(L),0
270,race_name_仁川ステークス(L),0
271,race_name_仲冬ステークス ,0
272,race_name_伊丹ステークス ,0
273,race_name_伊勢佐木特別 ,0
274,race_name_伊勢特別 ,0
275,race_name_伊良湖特別 ,0
276,race_name_伊達特別 ,0
277,race_name_伏竜ステークス ,0
278,race_name_会津特別 ,0
279,race_name_但馬ステークス ,0
258,race_name_丹沢ステークス ,0
257,race_name_中京日経賞 ,0
256,race_name_中京スポーツ杯 ,0
244,race_name_三田特別 ,0
235,race_name_ラジオ福島賞 ,0
236,race_name_ラジオ関西賞仲春特別 ,0
237,race_name_リボン賞 ,0
238,race_name_ルスツ特別 ,0
239,race_name_レインボーステークス ,0
240,race_name_三宮ステークス ,0
241,race_name_三春駒特別 ,0
242,race_name_三河ステークス ,0
243,race_name_三浦特別 ,0
245,race_name_三陸特別 ,0
255,race_name_中京スポニチ賞 ,0
246,race_name_上総ステークス ,0
247,race_name_上賀茂ステークス ,0
248,race_name_上越ステークス ,0
249,race_name_下北半島特別 ,0
250,race_name_下総ステークス ,0
251,race_name_下鴨ステークス ,0
252,race_name_両国特別 ,0
253,race_name_両津湾特別 ,0
254,race_name_中ノ岳特別 ,0
280,race_name_佐世保ステークス ,0
281,race_name_信夫山特別 ,0
282,race_name_信越ステークス(L),0
317,race_name_医王寺特別 ,0
308,race_name_北九州短距離S ,0
309,race_name_北大路特別 ,0
310,race_name_北山ステークス ,0
311,race_name_北摂特別 ,0
312,race_name_北斗特別 ,0
313,race_name_北海ハンデキャップ ,0
314,race_name_北総ステークス ,0
315,race_name_北辰特別 ,0
316,race_name_北陸ステークス ,0
318,race_name_十日町特別 ,0
306,race_name_利根川特別 ,0
319,race_name_千歳特別 ,0
320,race_name_千種川特別 ,0
321,race_name_千葉ステークス ,0
322,race_name_南武特別 ,0
323,race_name_南相馬特別 ,0
324,race_name_博多ステークス ,0
325,race_name_印西特別 ,0
326,race_name_古町ステークス ,0
327,race_name_合馬特別 ,0
307,race_name_加古川特別 ,0
305,race_name_利尻特別 ,0
283,race_name_元町ステークス ,0
293,race_name_出石特別 ,0
284,race_name_八ヶ岳特別 ,0
285,race_name_八丈島特別 ,0
286,race_name_八代特別 ,0
287,race_name_八幡特別 ,0
288,race_name_八海山ステークス ,0
289,race_name_八王子特別 ,0
